Country_Name,total_observation,avg_percent_bleaching,avg_temperature,max_bleaching,min_bleaching
United States,4274,19.58,26.71,100.0,0.0
Malaysia,2324,2.6,28.98,92.5,0.0
Mexico,2065,27.86,27.68,100.0,0.0
Australia,1952,21.91,25.48,100.0,0.0
Indonesia,1513,7.66,28.71,95.0,0.0
Japan,983,16.26,24.03,100.0,0.0
Philippines,978,4.45,28.37,95.0,0.0
Cuba,894,4.62,27.82,75.5,0.0
Jamaica,759,6.29,28.01,100.0,0.0
French Polynesia,741,5.85,27.63,100.0,0.0
Vietnam,700,1.59,27.15,75.0,0.0
Fiji,689,9.12,27.13,100.0,0.0
Belize,683,10.01,27.96,100.0,0.0
Bahamas,637,9.49,26.56,92.2,0.0
Egypt,612,0.25,24.66,25.0,0.0
Netherlands Antilles,445,9.88,27.08,100.0,0.0
New Caledonia,427,0.06,24.86,5.0,0.0
Maldives,414,6.76,28.7,78.01,0.0
China,377,0.56,23.85,12.5,0.0
Panama,367,7.6,28.06,100.0,0.0
France,352,5.77,26.62,78.0,0.0
Thailand,351,14.38,29.03,100.0,0.0
Taiwan,344,0.68,25.67,75.0,0.0
Colombia,256,14.91,27.74,100.0,0.0
Honduras,253,3.58,28.01,75.0,0.0
Dominican Republic,227,6.79,27.31,100.0,0.0
Brazil,202,8.48,26.84,85.0,0.0
Solomon Islands,188,5.03,28.83,75.0,0.0
United Kingdom,178,33.43,27.15,97.5,0.0
Trinidad and Tobago,175,34.75,27.3,100.0,0.0
Oman,150,1.86,27.1,75.0,0.0
Papua New Guinea,136,13.41,28.93,98.5,0.0
Tanzania,129,30.45,27.31,94.72,0.0
Cambodia,123,11.58,29.14,95.0,0.0
Madagascar,118,37.17,27.3,100.0,0.0
Federated States of Micronesia,115,1.25,28.85,50.0,0.0
Saint Lucia,105,6.84,27.47,75.0,0.0
Venezuela,99,4.6,27.0,75.0,0.0
India,97,66.49,28.53,94.44,3.0
Turks and Caicos,86,5.79,26.89,88.9,0.0
Haiti,86,1.06,28.28,75.0,0.0
Kenya,85,27.68,26.77,75.0,0.0
Barbados,75,25.39,27.32,85.1,0.0
Dominica,71,28.96,27.37,98.0,0.0
Mauritius,71,34.03,25.38,90.0,0.0
Vanuatu,66,1.64,26.78,50.25,0.0
Cayman Islands,63,11.31,27.96,75.0,0.66
Saint Vincent and the Grenadines,59,7.25,27.34,75.0,0.0
Brunei,57,1.46,29.44,30.5,0.0
Commonwealth of the Northern Mariana Islands,51,30.18,27.97,75.0,0.0
Mozambique,49,19.94,26.35,75.0,0.0
Grenada,48,2.37,27.36,32.25,0.0
Saudi Arabia,44,12.68,26.66,75.0,0.0
Bermuda,44,7.38,22.94,75.0,0.1
South Africa,40,10.83,24.36,27.05,0.25
United Arab Emirates,36,27.58,27.67,100.0,0.0
Marshall Islands,34,19.82,28.18,75.0,0.0
Ecuador,33,60.82,23.56,75.0,5.5
Myanmar,32,0.03,28.63,0.25,0.0
Seychelles,32,48.36,27.5,75.0,1.96
Costa Rica,32,18.36,28.24,75.0,0.0
Martinique,31,30.78,27.33,76.4,0.0
Iran,31,4.5,27.35,61.06,0.0
Palau,30,15.98,28.67,75.0,0.0
Bahrain,27,84.63,25.98,100.0,30.5
Djibouti,26,0.27,28.71,1.75,0.0
Saint Kitts and Nevis,25,0.91,27.26,20.0,0.0
Cook Islands,24,5.66,26.62,75.0,0.0
Yemen,22,1.02,27.06,10.0,0.0
Sudan,21,2.01,28.08,25.0,0.0
Sri Lanka,18,28.74,28.21,75.0,0.0
Sao Tome & Principe,18,3.88,26.94,23.75,0.0
East Timor,17,2.15,28.56,10.0,0.0
Nicaragua,13,1.16,27.65,2.22,0.39
Montserrat,12,0.19,27.23,1.25,0.0
Kiribati,10,58.33,28.76,75.0,0.0
Tonga,9,33.3,25.68,75.0,5.5
Israel,9,75.0,23.36,75.0,75.0
Kuwait,7,26.56,24.53,75.0,0.25
Eritrea,6,30.5,29.39,30.5,30.5
Jordan,6,0.46,23.43,1.75,0.0
Guatemala,4,5.63,28.81,12.5,0.0
Samoa,4,48.88,28.56,75.0,15.0
Antigua and Barbuda,4,15.0,27.05,40.0,0.0
Chile,3,64.33,22.39,87.5,30.5
Comoro Islands,3,75.0,27.57,75.0,75.0
Anguilla,2,,27.02,,
Singapore,2,75.0,28.33,75.0,75.0
Tuvalu,2,67.5,29.22,75.0,60.0
Bangladesh,2,6.25,27.53,6.25,6.25
nd,1,,28.14,,
