Date_Year,total_observation,avg_percent_bleaching,avg_temperature
1980,2,52.75,22.38
1983,25,72.33,26.8
1984,1,,28.43
1985,1,,28.38
1986,6,79.17,25.89
1987,51,18.46,27.04
1988,6,49.58,25.46
1989,1,,
1990,4,51.83,28.03
1991,9,52.31,27.21
1992,8,22.56,26.99
1993,11,30.28,27.56
1994,23,30.05,27.71
1995,15,53.33,27.49
1996,28,63.32,26.86
1997,405,42.07,27.17
1998,1170,43.37,26.67
1999,1022,8.66,27.42
2000,933,9.42,27.71
2001,1279,3.68,27.6
2002,1498,18.29,27.04
2003,1261,2.82,27.24
2004,1092,4.97,27.19
2005,3405,29.62,27.35
2006,2015,14.46,27.29
2007,1030,7.62,27.0
2008,1294,4.61,26.48
2009,1408,7.2,26.95
2010,1238,10.56,26.81
2011,840,6.21,26.82
2012,877,2.33,26.94
2013,945,5.17,27.12
2014,859,11.61,27.09
2015,980,10.76,27.13
2016,1202,20.47,27.24
2017,804,2.7,27.7
2018,623,0.89,27.99
2019,599,3.72,27.98
2020,45,3.67,
